Id,Predicted
10000405,0.942504639
10001189,0.276597656
10000674,0.022769995
10001358,0.01860251
10000810,0.004459343
10001323,0.648474724
10001340,0.006800037
10000708,0.003578319
10001722,0.000416063
10000018,0.054496292
10001265,0.005016339
10000905,0.001298556
10000249,0.239149123
10000191,0.020371171
10000880,0.086494145
10000866,0.000471376
10000452,0.002473981
10001946,0.003273036
10000582,0.006033812
10000689,0.003150747
10001904,0.003927694
10000918,0.001789609
10001236,0.014328728
10001513,0.022628991
10000989,0.004392821
10001584,0.193882101
10000479,0.008204114
10000940,0.070599438
10000511,0.287308929
10001185,0.025675672
10000733,0.001819217
10000829,0.003610577
10001986,0.011892271
10001749,0.00097404
10001057,0.180507101
10000427,0.009688486
10001158,0.005586029
10000156,0.005634755
10000491,0.069397741
10000692,0.714722437
10000027,0.015542116
10001109,0.476581194
10001238,0.513365607
10000017,0.064175423
10000629,0.005780484
10000519,0.038477004
10000361,0.00114917
10000289,0.209664814
10001551,0.592025565
10001785,0.003505198
10001548,0.233182867
10001326,0.003111562
10000076,0.475212173
10000578,0.011839373
10000279,0.173641767
10000933,0.009775976
10000475,0.003856152
10001339,0.329958911
10001255,0.00103493
10000814,0.021336112
10000840,0.029074074
10001521,0.108491201
10001360,0.255641155
10000966,0.005671892
10000047,0.214754266
10000793,0.970437253
10000916,0.002881009
10000682,0.000499316
10000506,0.006738302
10000353,0.001143469
10000276,0.001532433
10000970,0.001621766
10001816,0.014227559
10001302,0.02510151
10000333,0.918779091
10001667,0.024647492
10000135,0.00024116
10000182,0.016617848
10001760,0.002388881
10001366,0.069398968
10001070,0.014090864
10000107,0.950866538
10000390,0.029273929
10001164,0.000776106
10001609,0.381463283
10000262,0.903408857
10001660,0.000674934
10000260,0.00190146
10000487,0.007198154
10000303,0.406834303
10000053,0.000679336
10000717,0.00034683
10000148,0.737408569
10001463,0.03500478
10001579,0.184907081
10001621,0.014596736
10001926,0.13532154
10000080,0.001464957
10001853,0.307381498
10000264,0.013198661
10001509,0.012452436
10000579,0.054049564
10000538,0.002167575
10001002,3.99E-05
10000037,0.042414685
10001842,0.007974758
10001486,0.000326593
10001116,0.007285798
10000621,0.032514434
10001478,0.004903494
10000386,0.115601468
10001819,0.754653568
10001408,0.95392661
10001073,0.069822568
10001586,0.89486572
10001994,0.000580719
10001921,0.84642212
10000077,0.220467178
10000688,0.002883177
10000009,0.012516458
10001617,0.731251496
10000006,0.00136408
10000927,0.000983507
10000161,0.024146653
10001959,0.01616924
10001834,0.115528614
10000895,0.00407578
10001805,0.003656105
10001045,0.020413576
10001437,0.008461796
10001140,0.093545073
10000145,0.003479021
10000240,0.002720121
10000215,0.004428191
10000655,0.009744228
10000465,0.009112968
10001362,0.000602111
10001237,0.000159807
10000759,0.008004956
10001023,0.006779337
10001018,0.086382123
10001651,0.068091816
10001852,0.010445959
10000572,0.037771696
10000085,0.047370004
10001905,0.000449124
10000317,0.005595538
10000118,0.000417093
10000602,0.000226599
10001342,0.013086534
10000443,0.027886705
10001027,0.912927813
10000516,0.021223756
10001792,0.012044862
10000030,0.162206196
10000712,0.036940667
10000254,0.039219144
10000898,0.981274223
10001108,0.002220871
10001101,0.011324331
10001014,0.025451489
10001292,0.003860006
10001426,0.063980052
10001991,0.032563792
10001917,0.000997454
10000987,0.023411476
10001869,0.716689072
10001857,0.002528665
10000667,0.00926308
10001482,0.099124269
10000522,0.000777304
10001382,0.003818735
10000124,0.031399289
10000187,0.009948514
10000517,0.452525044
10001203,0.955099266
10001505,0.000714459
10000342,0.318814293
10001786,0.002908039
10000200,0.000407327
10001981,0.003226929
10001989,0.001610422
10001170,0.0491544
10000233,0.003896142
10001987,0.008886491
10001556,0.005534891
10001632,0.023143153
10001467,0.017786274
10000229,0.000582725
10000862,0.001304601
10000981,0.000645934
10000651,0.006097716
10000440,0.011964152
10000557,0.787037926
10000960,0.081702114
10001978,0.008637804
10001980,0.001402226
10000384,0.865941934
10001013,0.008751823
10001944,0.061769956
10001542,0.675838948
10000654,0.079646766
10000436,0.00400937
10000619,0.000506143
10001132,0.054021455
10000789,0.010666003
10001954,0.003725888
10001330,0.012258003
10000453,0.024839654
10001743,0.013783068
10000294,0.000884363
10000610,0.029999998
10000310,0.007668973
10001187,0.011439859
10000220,0.012585313
10000376,0.442096843
10001751,0.412579826
10000259,0.613789231
10001549,0.031757949
10001856,0.027998991
10000402,0.039457126
10000884,0.018247979
10001753,0.464725202
10000530,0.408878947
10000564,0.012686571
10001296,0.000583755
10000658,0.16793796
10001797,0.001189461
10000459,0.005086324
10001833,0.074334696
10001587,0.130649262
10000034,0.011979176
10001042,0.009847389
10001088,0.084389698
10001716,0.012532164
10001146,0.335361752
10001123,0.568467374
10001135,0.000149945
10001199,0.898619152
10001321,0.010654224
10000512,0.008065353
10000596,0.002603724
10001406,0.028757176
10000953,0.001044318
10000609,0.000290268
10001691,0.369192416
10000458,0.208030453
10000385,0.001722208
10001591,0.02847833
10000175,0.000265124
10001032,0.12027141
10001436,0.003421824
10001230,0.288372363
10001882,0.015204372
10001706,0.002741328
